Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
CorporateEntityNotTaxExempt,https://www.sam.gov,"Corporate Entity, Not Tax Exempt",Award Recipient,F = False T = True,
CorporateEntityTaxExempt,https://www.sam.gov,"Corporate Entity, tax Exempt",Award Recipient,F = False T = True,
CorrectionDeleteIndicator,A code to indicate how the record should be processed: correction to an existing record; deletion of a record; new record.,,Award Attribute,"(empty)= original, uncorrected record C= corrected record D= deleted record (only present in delta files)",(empty) = Request to add the current transaction record C = Current transaction record is a request to replace a previously submitted record that contained data submission errors. Record should contain replacement (not delta) values for all data fields that contain submission errors. D = Current transaction record is a request to delete a previously submitted record that contained data submission errorsRead Less
CorrectionDeleteIndicatorDescriptionTag,Description tag (by way of the DATA Act Broker) that explains the meaning of the code provided in the CorrectionDeleteIndicator Field.,,Award Attribute,"(empty)= original, uncorrected record C= corrected record D= deleted record (only present in delta files)",(empty) = Request to add the current transaction record C = Current transaction record is a request to replace a previously submitted record that contained data submission errors. Record should contain replacement (not delta) values for all data fields that contain submission errors. D = Current transaction record is a request to delete a previously submitted record that contained data submission errorsRead Less
Cost Accounting Standards Clause Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Cost Accounting Standards Clause Field.,,Award Attribute,Y = YES - CAS CLAUSE INCLUDED N = NO - CAS WAIVER APPROVED X = NOT APPLICABLE EXEMPT FROM CAS,"Y = Select this code if the action includes a Cost Accounting Standards clause. N = Select this code if the action was subject to CAS, but a waiver was approved. X = Select this code if the action is exempted from CAS.Read Less"
Cost or Pricing Data Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Cost or Pricing Data Field.,,Award Attribute,Y = YES N = NO W = NOT OBTAINED - WAIVED,
CostAccountingStandardsClause,Indicates whether the contract includes a Cost Accounting Standards clause.,Cost Accounting Standards Clause,Award Attribute,Y = YES - CAS CLAUSE INCLUDED N = NO - CAS WAIVER APPROVED X = NOT APPLICABLE EXEMPT FROM CAS,"Y = Select this code if the action includes a Cost Accounting Standards clause. N = Select this code if the action was subject to CAS, but a waiver was approved. X = Select this code if the action is exempted from CAS.Read Less"
CostOrPricingData,"A designator that indicates if cost or pricing was obtained, not obtained or waived.",Cost or Pricing Data,Award Attribute,Y = YES N = NO W = NOT OBTAINED - WAIVED,
Council_of_Governments,https://www.sam.gov,Council of Governments,Award Recipient,F = False T = True,
Country of Product or Service Origin Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Country of Product or Service Origin Field.,,Award Attribute,Refer to the GSA Federal Procurement Data System (FPDS),
CountryOfProductOrServiceOrigin,Identifies the country of product or service origin.,Country of Product or Service Origin,Award Attribute,Refer to the GSA Federal Procurement Data System (FPDS),
CountyLocalGovernment,https://www.sam.gov,County Local Government,Award Recipient,F = False T = True,
CurrentTotalValueOfAward,"For procurement, the total amount obligated to date on a contract, including the base and exercised options.",Total Base and Exercised Options Value,Award Spending,,
DeobligationsRecoveriesRefundsOfPriorYearByAward_CPE,"The amount of downward adjustments to obligations and outlays incurred resulting from deobligations, recoveries, or refunds collected, at the Award level. The adjustments are to the obligations and outlays which were made in a prior year.Read Less",,Account Breakdown,,
DeobligationsRecoveriesRefundsOfPriorYearByProgramObjectClass_CPE,"The amount of downward adjustments to obligations and outlays incurred resulting from deobligations, recoveries, or refunds collected, at the TAS / Program Activity / Object Class level. The adjustments are to the obligations and outlays which were made in a prior year.Read Less",,Account Breakdown,,
DeobligationsRecoveriesRefundsOfPriorYearByTAS_CPE,"The amount of downward adjustments to obligations and outlays resulting from deobligations, recoveries, or refunds collected, summarized at the TAS level. The adjustments are to the obligations and outlays which were made in a prior year.Read Less",,Account Status,,
DisasterAwardObligations,The amount for award obligations.,,,,
DisasterAwardOutlays,The amount for award outlays.,,,,
DisasterEmergencyFundCode,"Distinguishes whether the budgetary resources, obligations incurred, unobligated and obligated balances, and outlays are classified as disaster, emergency, wildfire suppression or none of the three. (Per USSGL TFM Part 2, Section IV, Account Attribute Definition Report.)Read Less",,Account Status,"A = Emergency P.L. 115-56 B = Emergency P.L. 115-72 C = Emergency P.L. 115-123 D = Emergency P.L. 115-254 E = Emergency P.L. 116-20 F = Emergency P.L. 116-26 G = Emergency P.L. 116-93 H = Disaster P.L. 116-93 I = Emergency P.L. 116-94 J = Wildfire Suppression P.L. 116-94 K = Emergency P.L. 116-113 L = Emergency P.L. 116-123 M = Emergency P.L. 116-127 N = Emergency P.L. 116-136 O = Nonemergency P.L. 116-136, P.L. 116-139, P.L. 116-260 P = Emergency P.L. 116-139 Q/QQQ = Non Disaster or Emergency R = Emergency P.L. 116-260, Divisions A-L S = Disaster P.L. 116-260 T = Wildfire Suppression P.L. 116-260 U = Emergency P.L. 116-260, Division M V = Non-emergency P.L. 117-2 W = Emergency P.L. 117‐31 X = Emergency P.L. 117-43 Y = Disaster P.L. 117-43 Z = Emergency PL 117-58 1 = Non-emergency PL 117-58 2 = Emergency PL 117-70 3 = Emergency PL 117-103 4 = Disaster PL 117-103 5 = Wildfire Suppression PL 117-103 6 = Emergency PL 117-128 7 = Emergency PL 117-159 8 = Emergency H.R. 4346 AAA = Emergency H.R. 6833 AAB = Emergency P.L. 117-328 AAC = Wildfire Suppression Requirements P.L. 117-328 AAD = Disaster Relief P.L. 117-328 AAE = Emergency P.L. 118-15 [Future Code(s)] = [Future P.L.]Read Less",
DisasterEmergencyFundName,The title of the Disaster Emergency Fund Code,,Account Status,"A = Emergency P.L. 115-56 B = Emergency P.L. 115-72 C = Emergency P.L. 115-123 D = Emergency P.L. 115-254 E = Emergency P.L. 116-20 F = Emergency P.L. 116-26 G = Emergency P.L. 116-93 H = Disaster P.L. 116-93 I = Emergency P.L. 116-94 J = Wildfire Suppression P.L. 116-94 K = Emergency P.L. 116-113 L = Emergency P.L. 116-123 M = Emergency P.L. 116-127 N = Emergency P.L. 116-136 O = Nonemergency P.L. 116-136, P.L. 116-139, P.L. 116-260 P = Emergency P.L. 116-139 Q/QQQ = Non Disaster or Emergency R = Emergency P.L. 116-260, Divisions A-L S = Disaster P.L. 116-260 T = Wildfire Suppression P.L. 116-260 U = Emergency P.L. 116-260, Division M V = Non-emergency P.L. 117-2 W = Emergency P.L. 117‐31 X = Emergency P.L. 117-43 Y = Disaster P.L. 117-43 Z = Emergency PL 117-58 1 = Non-emergency PL 117-58 2 = Emergency PL 117-70 3 = Emergency PL 117-103 4 = Disaster PL 117-103 5 = Wildfire Suppression PL 117-103 6 = Emergency PL 117-128 7 = Emergency PL 117-159 8 = Emergency H.R. 4346 AAA = Emergency H.R. 6833 AAB = Emergency P.L. 117-328 AAC - Wildfire Suppression Requirements P.L. 117-328 AAD - Disaster Relief P.L. 117-328 [Future Code(s)] = [Future P.L.]Read Less",
DisasterFaceValueLoans,The face value of loans.,,,,
DisasterNumberAwards,The number of awards.,,,,
DisasterRecipient,This name of the recipient.,,,,
DOD Acquisition Program Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the DOD Acquisition Program field.,,Award Attribute,"According to the GSA Federal Procurement Data System (FPDS), these are listed in the DoD Procurement Coding Manual Section II, Program and System or Equipment Codes",
DoD Claimant Program Code Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the DoD Claimant Program Code Field.,,Award Attribute,"According to the GSA Federal Procurement Data System (FPDS), these are listed in the DoD Procurement Coding Manual Section III, DoD Claimant Program Number",
DOD_Acquisition_Program,"Two codes that together identify the program and weapons system or equipment purchased by a DoD agency. The first character is a number 1-4 that identifies the DoD component. The last 3 characters identify that component's program, system, or equipment.Read Less",DOD Acquisition Program,Award Attribute,"According to the GSA Federal Procurement Data System (FPDS), these are listed in the DoD Procurement Coding Manual Section II, Program and System or Equipment Codes",
DoD_Claimant_Program_Code,"A claimant program number designates a grouping of supplies, construction, or other services.",DoD Claimant Program Code,Award Attribute,"According to the GSA Federal Procurement Data System (FPDS), these are listed in the DoD Procurement Coding Manual Section III, DoD Claimant Program Number",
Domestic or Foreign Entity Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Domestic or Foreign Entity Field.,,Award Attribute,A = U.S. OWNED BUSINESS B = OTHER U.S. ENTITY (E.G. GOVERNMENT) C = FOREIGN-OWNED BUSINESS INCORPORATED IN THE U.S. D = FOREIGN-OWNED BUSINESS NOT INCORPORATED IN THE U.S. O = OTHER FOREIGN ENTITY (E.G. FOREIGN GOVERNMENT)Read Less,A = U.S. Owned Business B = Other U.S. Entity (e.g. Government) C = Foreign-Owned Business Incorporated in the U.S. D = Foreign-Owned Business NOT Incorporated in the U.S. O = Other Foreign Entity (e.g. Foreign Government)Read Less
Domestic_or_Foreign_Entity,Code that indicates the type of entity from the values listed.,Domestic or Foreign Entity,Award Attribute,A = U.S. OWNED BUSINESS B = OTHER U.S. ENTITY (E.G. GOVERNMENT) C = FOREIGN-OWNED BUSINESS INCORPORATED IN THE U.S. D = FOREIGN-OWNED BUSINESS NOT INCORPORATED IN THE U.S. O = OTHER FOREIGN ENTITY (E.G. FOREIGN GOVERNMENT)Read Less,A = U.S. Owned Business B = Other U.S. Entity (e.g. Government) C = Foreign-Owned Business Incorporated in the U.S. D = Foreign-Owned Business NOT Incorporated in the U.S. O = Other Foreign Entity (e.g. Foreign Government)Read Less
DomesticShelter,https://www.sam.gov,Domestic Shelter,Award Recipient,F = False T = True,
DoT_Certified_Disadvantaged_Business_Enterprise,https://www.sam.gov,DoT Certified Disadvantaged Business Enterprise,Award Recipient,F = False T = True,
EconomicallyDisadvantagedWomenOwnedSmallBusiness,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.Read Less",Economically Disadvantaged Women Owned Small Business,Award Recipient,F = False T = True,
EducationalInstitution,"List characteristic of the contractor such as whether the selected contractor is an Educational Institution or not. It can be derived from the SAM data element, 'Business Types'.",Educational Institution,Award Recipient,F = False T = True,
Emergency Acquisition Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Emergency Acquisition Field.,,Award Attribute,"A = CONTINGENCY OPERATION AS DEFINED IN 10 U.S.C. 101(A)(13) B = HUMANITARIAN OR PEACEKEEPING OPERATION AS DEFINED IN 10 U.S.C. 2302(8) C = PRESIDENTIAL ISSUED EMERGENCY DECLARATION, OR A MAJOR DISASTER DECLARATION D = HUMANITARIAN AND CIVIC ASSISTANCE AS DEFINED IN 10 U.S.C. 401(E) X = NOT APPLICABLERead Less",
EmergencyAcquisition,"A designator of contract actions that support a declared contingency operation, a declared humanitarian or peacekeeping operation, or a declared presidential issued emergency declaration or a major disaster declaration.Read Less",Emergency Acquisition,Award Attribute,"A = CONTINGENCY OPERATION AS DEFINED IN 10 U.S.C. 101(A)(13) B = HUMANITARIAN OR PEACEKEEPING OPERATION AS DEFINED IN 10 U.S.C. 2302(8) C = PRESIDENTIAL ISSUED EMERGENCY DECLARATION, OR A MAJOR DISASTER DECLARATION D = HUMANITARIAN AND CIVIC ASSISTANCE AS DEFINED IN 10 U.S.C. 401(E) X = NOT APPLICABLERead Less",
EmergingSmallBusiness,"List characteristic of the contractor such as whether the selected contractor is an Emerging Small Business Organization or not. It can be derived from the SAM data element, 'Business Types'.",Emerging Small Business,Award Recipient,F = False T = True,
EndingPeriodOfAvailability,"In annual and multi-year funds, the end period of availability identifies the last year of funds availability under law that an appropriation account may incur new obligations.",,Treasury Account,,
EntityDoingBusinessAsName,The doing business as name of the entity address.,Entity Doing Business As Name,Award Recipient,,
EntityFaxNumber,The fax number of the entity.,Entity Fax Number,Award Recipient,,
EntityPhoneNumber,The phone number of the entity.,Entity Phone Number,Award Recipient,,
EPA-Designated Product Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the EPA-Designated Product Field.,,Award Attribute,A = MEETS REQUIREMENTS B = JUSTIFICATION - TIME C = JUSTIFICATION - PRICE D = JUSTIFICATION - PERFORMANCE E = NOT REQUIRED,A = EPA-designated product or products were purchased and all contained the required minimum recovered material content. B = EPA-designated product or products were purchased without the required minimum recovered material content and a justification was completed based on inability to acquire the product(s) competitively within a reasonable time (FAR 23.404(b)(1)(i)). C = EPA-designated product or products were purchased without the required minimum recovered material content and a justification was completed based on inability to acquire the product(s) at a reasonable price (FAR 23.404(b)(1)(iii)). D = EPA-designated product or products were purchased without the required minimum recovered material content and a justification was completed based on inability to acquire the product(s) to reasonable performance standards in the specifications (FAR 23.404(b)(1)(ii)). E = No EPA-designated product(s) were required.Read Less
EPA-DesignatedProduct,"The Resource Conservation and Recovery Act (RCRA), Section 6002, and Executive Order 13101 require the purchase of Environmental Protection Agency (EPA) -designated products with a required minimum recovered material content as described in an agency's Affirmative Procurement Program (APP). This list of EPA-designated products is available at http://www.epa.gov/cpg. This requirement applies to all contracts that require EPA-designated products.Read Less",EPA-Designated Product(s),Award Attribute,A = MEETS REQUIREMENTS B = JUSTIFICATION - TIME C = JUSTIFICATION - PRICE D = JUSTIFICATION - PERFORMANCE E = NOT REQUIRED,A = EPA-designated product or products were purchased and all contained the required minimum recovered material content. B = EPA-designated product or products were purchased without the required minimum recovered material content and a justification was completed based on inability to acquire the product(s) competitively within a reasonable time (FAR 23.404(b)(1)(i)). C = EPA-designated product or products were purchased without the required minimum recovered material content and a justification was completed based on inability to acquire the product(s) at a reasonable price (FAR 23.404(b)(1)(iii)). D = EPA-designated product or products were purchased without the required minimum recovered material content and a justification was completed based on inability to acquire the product(s) to reasonable performance standards in the specifications (FAR 23.404(b)(1)(ii)). E = No EPA-designated product(s) were required.Read Less
Evaluated Preference Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Evaluated Preference Field.,,Award Attribute,NONE = NO PREFERENCE USED SDA = SDB PRICE EVALUATION ADJUSTMENT SPS = SDB PREFERENTIAL CONSIDERATION PARTIAL SB SET ASIDE HZE = HUBZONE PRICE EVALUATION HSD = COMBINED HUB/SDB PREFERENCE,NONE = Report this code if no evaluation preference was used in this action SDA = Report this code for an award made through full and open competition with award to a small disadvantaged business as a result of the application of a price evaluation adjustment pursuant to FAR 19.11. SPS = Report this code if the award was made through Full and Open Competition after Exclusion of Sources pursuant to FAR 6.2. Enter this code if the action was a partial set-aside for small business and - Partial SB Set-Aside preferential consideration resulted in an award to an SDB. HZE = Report this code if the award was made through full and open competition with award to a HUBZone small business concern as a result of the HUBZone price evaluation preference. See FAR 19.1307 HSD = Report this code if the award was made through full and open competition after the application of both the HUBZone Price Evaluation Adjustment Preference (FAR 19.13)and the Small Disadvantaged Business Price Evaluation Adjustment per FAR 19.11Read Less
EvaluatedPreference,The designator for type of preference determined for the contract action.,Evaluated Preference,Award Attribute,NONE = NO PREFERENCE USED SDA = SDB PRICE EVALUATION ADJUSTMENT SPS = SDB PREFERENTIAL CONSIDERATION PARTIAL SB SET ASIDE HZE = HUBZONE PRICE EVALUATION HSD = COMBINED HUB/SDB PREFERENCE,NONE = Report this code if no evaluation preference was used in this action SDA = Report this code for an award made through full and open competition with award to a small disadvantaged business as a result of the application of a price evaluation adjustment pursuant to FAR 19.11. SPS = Report this code if the award was made through Full and Open Competition after Exclusion of Sources pursuant to FAR 6.2. Enter this code if the action was a partial set-aside for small business and - Partial SB Set-Aside preferential consideration resulted in an award to an SDB. HZE = Report this code if the award was made through full and open competition with award to a HUBZone small business concern as a result of the HUBZone price evaluation preference. See FAR 19.1307 HSD = Report this code if the award was made through full and open competition after the application of both the HUBZone Price Evaluation Adjustment Preference (FAR 19.13)and the Small Disadvantaged Business Price Evaluation Adjustment per FAR 19.11Read Less
Extent Competed Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Extent Competed Field.,,Award Attribute,A = FULL AND OPEN COMPETITION B = NOT AVAILABLE FOR COMPETITION C = NOT COMPETED D = FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES E = FOLLOW ON TO COMPETED ACTION F = COMPETED UNDER SAP G = NOT COMPETED UNDER SAP CDO = COMPETITIVE DELIVERY ORDER NDO = NON-COMPETITIVE DELIVERY ORDERRead Less,Report this code when competitive procedures are not used in awarding the delivery order for a reason not included above (when the action was non-competitive). (Note: This is not applicable to Version 1.4/1.5 documents.)Read Less
ExtentCompeted,A code that represents the competitive nature of the contract.,Extent Competed,Award Attribute,A = FULL AND OPEN COMPETITION B = NOT AVAILABLE FOR COMPETITION C = NOT COMPETED D = FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES E = FOLLOW ON TO COMPETED ACTION F = COMPETED UNDER SAP G = NOT COMPETED UNDER SAP CDO = COMPETITIVE DELIVERY ORDER NDO = NON-COMPETITIVE DELIVERY ORDERRead Less,"A = Report this code if the action resulted from an award pursuant to FAR 6.102(a) - sealed bid, FAR 6.102(b) - competitive proposal, FAR 6.102(c) - Combination, or any other competitive method that did not exclude sources of any type B = Select this code when the contract is not available for competition C = Select this code when the contract is not competed. D = Select this code when some sources are excluded before competition E = Select this code when the action is a follow on to an existing competed contract. FAR 6.302-1. (Note: This is not applicable to Version 1.4/1.5 documents.) F = Select this code when the action is competed under the Simplified Acquisition Procedures. G = Select this code when the action is NOT competed under the Simplified Acquisition Procedures. CDO = Apply to Full and Open Competition pursuant to FAR 6.1 and only apply to Delivery Orders) Report this code if the IDV Type is a Federal Schedule. Report this code when the Order delivery/task order award was made pursuant to a process that permitted each contract awardee a fair opportunity to be considered. See FAR Part 16.505(b)(1). Report this code if the action is for the award of a multiple award schedule or an order against a multiple award schedule pursuant to FAR 6.102(d)(3) and the applicable provisions referenced there under. (Note: This is not applicable to Version 1.4/1.5 documents.) Report this code when competitive procedures are not used in awarding the delivery order for a reason not included above (when the action was non-competitive). (Note: This is not applicable to Version 1.4/1.5 documents.) NDO = Report this code when competitive procedures are not used in awarding the delivery order for a reason not included above (when the action was non-competitive). (Note: This is not applicable to Version 1.4/1.5 documents.)Read Less"
FaceValueOfDirectLoanOrLoanGuarantee,The face value of the direct loan or loan guarantee.,,Award Spending,,
FAIN,The Federal Award Identification Number (FAIN) is the unique ID within the Federal agency for each (non-aggregate) financial assistance award.,,Award Attribute,,
Fair Opportunity Limited Sources Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Fair Opportunity Limited Sources Field.,,Award Attribute,URG = URGENCY ONE = ONLY ONE SOURCE - OTHER FOO = FOLLOW-ON ACTION FOLLOWING COMPETITIVE INITIAL ACTION MG = MINIMUM GUARANTEE OSA = OTHER STATUTORY AUTHORITY FAIR = FAIR OPPORTUNITY GIVEN CSA = COMPETITIVE SET ASIDE SS = SOLE SOURCERead Less,URG = Report this code if the action was justified pursuant to FAR 16.506(b)(2)(i)(A). ONE = Report this code if the action was justified pursuant FAR 16.506(b)(2)(i)(B). FOO = Report this code if the action was justified pursuant to FAR 16.506(b)(2)(i)(C). MG = Report this code when it was necessary to place an order to satisfy minimum amount guaranteed to the contractor. See FAR 16.506(b)(2)(i)(D). OSA = Report this code when the action was justified pursuant to a statutory authority that expressly authorizes or requires that the purchase be made from a specified source. This code is valid for Civilian agencies effective 10/31/2009. FAIR = Report this code if Fair Opportunity was given on this order This code is valid for Civilian agencies effective 10/31/2009. CSA = Report this code if action was justified pursuant FAR 19.502-4 and in accordance with 1331 of Public Law 110240. Applies to actions signed on/later than 11/02/2012. SS = Report this code if action was justified pursuant FAR 19.502-4 and in accordance with 1331 of Public Law 110240. Applies to actions signed on/later than 11/02/2012.Read Less
FairOpportunityLimitedSources,The type of statutory exception to Fair Opportunity.,Fair Opportunity/Limited Sources,Award Attribute,URG = URGENCY ONE = ONLY ONE SOURCE - OTHER FOO = FOLLOW-ON ACTION FOLLOWING COMPETITIVE INITIAL ACTION MG = MINIMUM GUARANTEE OSA = OTHER STATUTORY AUTHORITY FAIR = FAIR OPPORTUNITY GIVEN CSA = COMPETITIVE SET ASIDE SS = SOLE SOURCERead Less,URG = Report this code if the action was justified pursuant to FAR 16.506(b)(2)(i)(A). ONE = Report this code if the action was justified pursuant FAR 16.506(b)(2)(i)(B). FOO = Report this code if the action was justified pursuant to FAR 16.506(b)(2)(i)(C). MG = Report this code when it was necessary to place an order to satisfy minimum amount guaranteed to the contractor. See FAR 16.506(b)(2)(i)(D). OSA = Report this code when the action was justified pursuant to a statutory authority that expressly authorizes or requires that the purchase be made from a specified source. This code is valid for Civilian agencies effective 10/31/2009. FAIR = Report this code if Fair Opportunity was given on this order This code is valid for Civilian agencies effective 10/31/2009. CSA = Report this code if action was justified pursuant FAR 19.502-4 and in accordance with 1331 of Public Law 110240. Applies to actions signed on/later than 11/02/2012. SS = Report this code if action was justified pursuant FAR 19.502-4 and in accordance with 1331 of Public Law 110240. Applies to actions signed on/later than 11/02/2012.Read Less
FederalAccountsFundingThisAward,A single field with associated federal accounts in order of funding dollars.,,Treasury Account,See https://sam.for.fiscal.treasury.gov/sampublic/tasbetc.htm (AID and MAIN columns),
FederalAccountSymbol,The Federal Account Symbol is derived from concatenating the agency identifier and the main account code.,,Treasury Account,See https://sam.for.fiscal.treasury.gov/sampublic/tasbetc.htm (AID and MAIN columns),
FederalActionObligation,"Amount of Federal government’s obligation, de-obligation, or liability, in dollars, for an award transaction.",Action Obligation,Award Spending,,
FederalAgency,https://www.sam.gov,Federal Agency,Award Recipient,F = False T = True,
FederalAssistanceAwards,https://www.sam.gov,Federal Assistance Awards,Award Recipient,F = False T = True,
FederallyFundedResearchAndDevelopmentCorp,https://www.sam.gov,Federally Funded Research and Development Corp,Award Recipient,F = False T = True,
Foreign Funding Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Foreign Funding Field.,,Award Source,A = FOREIGN FUNDS FMS B = FOREIGN FUNDS NON-FMS X = NOT APPLICABLE,
ForeignFunding,"Indicates that a foreign government, international organization, or foreign military organization bears some of the cost of the acquisition.",Foreign Funding,Award Source,A = FOREIGN FUNDS FMS B = FOREIGN FUNDS NON-FMS X = NOT APPLICABLE,
ForeignGovernment,https://www.sam.gov,Foreign Government,Award Recipient,F = False T = True,
ForeignOwned,https://www.sam.gov,Foreign Owned,Award Recipient,F = False T = True,
ForProfitOrganization,"List characteristic of the contractor such as whether the selected contractor is a Profit Organization or not. It can be derived from the SAM data element, 'Business Types'.",For Profit Organization,Award Recipient,F = False T = True,
Foundation,https://www.sam.gov,Foundation,Award Recipient,F = False T = True,
FundingAgencyCode,The 3-digit CGAC agency code of the department or establishment of the Government that provided the preponderance of the funds for an award and/or individual transactions related to an award.,,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (CGAC AGENCY CODE column),
FundingAgencyName,Name of the department or establishment of the Government that provided the preponderance of the funds for an award and/or individual transactions related to an award.,,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (AGENCY NAME column),
FundingOfficeCode,Identifier of the level n organization that provided the preponderance of the funds obligated by this transaction.,Program/Funding Office - Code,Award Source,Refer to the GSA IAE Federal Hierarchy from SAM.gov,
FundingOfficeName,Name of the level n organization that provided the preponderance of the funds obligated by this transaction.,,Award Source,Refer to the GSA IAE Federal Hierarchy from SAM.gov,
FundingOpportunityGoalsText,A brief summary of the intended outcomes associated with the notice of funding opportunity. Applicable to Competitive Discretionary Grants and Cooperative Agreements.,,,,
FundingOpportunityNumber,An alphanumeric identifier that a Federal agency assigns to its funding opportunity announcement as part of the Notice of Funding Opportunity posted on the OMB-designated government wide web site (currently grants.gov) for finding and applying for federal financial assistance. Applicable to Competitive Discretionary Grants and Cooperative Agreements.Read Less,,,,
FundingSubTierAgencyCode,Identifier of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,Program/Funding Agency - Code,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (SUBTIER CODE column),
FundingSubTierAgencyName,Name of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (SUBTIER NAME column),
GeneralLedgerPostDate,"The date the financial transaction was posted in the Agency’s General Ledger. Example: If an award transaction occurs March 30, but isn’t posted in the GL until April 5, then the General Ledger Post Date will be submitted as April 5.Read Less",,Award Attribute,,
Government Furnished Property GFP Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Government Furnished Property GFP Field.,,Award Attribute,Y = Transaction uses GFE/GFP N = Transaction does not use GFE/GFP,"Y = N/A N = If ""Interagency Contracting Authority"" is ""Other Statutory Authority"" then an entry is required in this data element."
GovernmentFurnishedProperty(GFP),"The contract uses equipment or property furnished by the government, pursuant to FAR 45.",Government Furnished Property (GFP),Award Attribute,Y = Transaction uses GFE/GFP N = Transaction does not use GFE/GFP,"Y = N/A N = If ""Interagency Contracting Authority"" is ""Other Statutory Authority"" then an entry is required in this data element."
GrossOutlayAmountByAward_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
GrossOutlayAmountByAward_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
GrossOutlayAmountByProgramObjectClass_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
GrossOutlayAmountByProgramObjectClass_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
GrossOutlayAmountByTAS_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Status,,
GrossOutlaysDeliveredOrdersPaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending.Read Less",,Account Breakdown,,
